file_name,median_magnitude,parameters,toff
idm_accel-20240128_190137.csv,7644.36364897391,current=2200_tbl=0_toff=1_hstrt=7_hend=3_speed=47,1
idm_accel-20240128_190140.csv,7369.079524833597,current=2200_tbl=0_toff=1_hstrt=7_hend=4_speed=47,1
idm_accel-20240128_190142.csv,6959.438099044531,current=2200_tbl=0_toff=1_hstrt=7_hend=5_speed=47,1
idm_accel-20240128_190144.csv,6975.533552715977,current=2200_tbl=0_toff=1_hstrt=7_hend=6_speed=47,1
idm_accel-20240128_190147.csv,6480.683747324469,current=2200_tbl=0_toff=1_hstrt=7_hend=7_speed=47,1
idm_accel-20240128_190149.csv,6173.434008437936,current=2200_tbl=0_toff=1_hstrt=7_hend=8_speed=47,1
idm_accel-20240128_190152.csv,10203.279639264148,current=2200_tbl=0_toff=2_hstrt=0_hend=2_speed=47,2
idm_accel-20240128_190155.csv,9810.930521310058,current=2200_tbl=0_toff=2_hstrt=0_hend=3_speed=47,2
idm_accel-20240128_190157.csv,9409.199730347504,current=2200_tbl=0_toff=2_hstrt=0_hend=4_speed=47,2
idm_accel-20240128_190200.csv,8825.645658340696,current=2200_tbl=0_toff=2_hstrt=0_hend=5_speed=47,2
idm_accel-20240128_190202.csv,8335.073954469068,current=2200_tbl=0_toff=2_hstrt=0_hend=6_speed=47,2
idm_accel-20240128_190205.csv,7969.04997517232,current=2200_tbl=0_toff=2_hstrt=0_hend=7_speed=47,2
idm_accel-20240128_190207.csv,7724.873247955422,current=2200_tbl=0_toff=2_hstrt=0_hend=8_speed=47,2
idm_accel-20240128_190210.csv,7266.841816833012,current=2200_tbl=0_toff=2_hstrt=0_hend=9_speed=47,2
idm_accel-20240128_190212.csv,7037.564325694535,current=2200_tbl=0_toff=2_hstrt=0_hend=10_speed=47,2
idm_accel-20240128_190215.csv,6708.31037988262,current=2200_tbl=0_toff=2_hstrt=0_hend=11_speed=47,2
idm_accel-20240128_190217.csv,6551.0695154490095,current=2200_tbl=0_toff=2_hstrt=0_hend=12_speed=47,2
idm_accel-20240128_190219.csv,6462.040935479936,current=2200_tbl=0_toff=2_hstrt=0_hend=13_speed=47,2
idm_accel-20240128_190222.csv,6331.428123181207,current=2200_tbl=0_toff=2_hstrt=0_hend=14_speed=47,2
idm_accel-20240128_190224.csv,6230.603118490913,current=2200_tbl=0_toff=2_hstrt=0_hend=15_speed=47,2
idm_accel-20240128_190227.csv,9957.103318173413,current=2200_tbl=0_toff=2_hstrt=1_hend=2_speed=47,2
idm_accel-20240128_190229.csv,9298.138778391185,current=2200_tbl=0_toff=2_hstrt=1_hend=3_speed=47,2
idm_accel-20240128_190232.csv,8992.21474328373,current=2200_tbl=0_toff=2_hstrt=1_hend=4_speed=47,2
idm_accel-20240128_190234.csv,8564.438552084786,current=2200_tbl=0_toff=2_hstrt=1_hend=5_speed=47,2
idm_accel-20240128_190237.csv,8159.309567519672,current=2200_tbl=0_toff=2_hstrt=1_hend=6_speed=47,2
idm_accel-20240128_190239.csv,7780.042933533845,current=2200_tbl=0_toff=2_hstrt=1_hend=7_speed=47,2
idm_accel-20240128_190242.csv,7388.018310618301,current=2200_tbl=0_toff=2_hstrt=1_hend=8_speed=47,2
idm_accel-20240128_190244.csv,7165.862767559149,current=2200_tbl=0_toff=2_hstrt=1_hend=9_speed=47,2
idm_accel-20240128_190247.csv,6921.855214699459,current=2200_tbl=0_toff=2_hstrt=1_hend=10_speed=47,2
idm_accel-20240128_190249.csv,6850.597864788043,current=2200_tbl=0_toff=2_hstrt=1_hend=11_speed=47,2
idm_accel-20240128_190252.csv,6744.43777676074,current=2200_tbl=0_toff=2_hstrt=1_hend=12_speed=47,2
idm_accel-20240128_190254.csv,6600.259368662881,current=2200_tbl=0_toff=2_hstrt=1_hend=13_speed=47,2
idm_accel-20240128_190257.csv,6233.883234212027,current=2200_tbl=0_toff=2_hstrt=1_hend=14_speed=47,2
idm_accel-20240128_190259.csv,9515.342981216549,current=2200_tbl=0_toff=2_hstrt=2_hend=2_speed=47,2
idm_accel-20240128_190301.csv,8946.070122631792,current=2200_tbl=0_toff=2_hstrt=2_hend=3_speed=47,2
idm_accel-20240128_190304.csv,8487.523780445026,current=2200_tbl=0_toff=2_hstrt=2_hend=4_speed=47,2
idm_accel-20240128_190306.csv,8040.884114782185,current=2200_tbl=0_toff=2_hstrt=2_hend=5_speed=47,2
idm_accel-20240128_190309.csv,7787.385168693974,current=2200_tbl=0_toff=2_hstrt=2_hend=6_speed=47,2
idm_accel-20240128_190311.csv,7542.9926758349775,current=2200_tbl=0_toff=2_hstrt=2_hend=7_speed=47,2
idm_accel-20240128_190314.csv,7210.085728470067,current=2200_tbl=0_toff=2_hstrt=2_hend=8_speed=47,2
idm_accel-20240128_190316.csv,6895.543521999259,current=2200_tbl=0_toff=2_hstrt=2_hend=9_speed=47,2
idm_accel-20240128_190319.csv,6648.036227536177,current=2200_tbl=0_toff=2_hstrt=2_hend=10_speed=47,2
idm_accel-20240128_190321.csv,6768.577049164235,current=2200_tbl=0_toff=2_hstrt=2_hend=11_speed=47,2
idm_accel-20240128_190324.csv,6467.504056470305,current=2200_tbl=0_toff=2_hstrt=2_hend=12_speed=47,2
idm_accel-20240128_190326.csv,6291.668585987754,current=2200_tbl=0_toff=2_hstrt=2_hend=13_speed=47,2
idm_accel-20240128_190329.csv,8881.345597859261,current=2200_tbl=0_toff=2_hstrt=3_hend=2_speed=47,2
