parameters,median_magnitude,toff
current=2200_tbl=0_toff=3_hstrt=1_hend=6_speed=47,7078.046349052653,3
current=2200_tbl=0_toff=3_hstrt=1_hend=7_speed=47,6713.819432715572,3
current=2200_tbl=0_toff=3_hstrt=1_hend=8_speed=47,6491.327737269449,3
current=2200_tbl=0_toff=3_hstrt=1_hend=9_speed=47,6377.4592881803,3
current=2200_tbl=0_toff=3_hstrt=1_hend=10_speed=47,6253.227578222906,3
current=2200_tbl=0_toff=3_hstrt=1_hend=11_speed=47,6123.478613935792,3
current=2200_tbl=0_toff=3_hstrt=1_hend=12_speed=47,6213.5949580854485,3
current=2200_tbl=0_toff=3_hstrt=1_hend=13_speed=47,6078.660493988249,3
current=2200_tbl=0_toff=3_hstrt=1_hend=14_speed=47,5950.808270740481,3
current=2200_tbl=0_toff=3_hstrt=2_hend=2_speed=47,8100.52494521297,3
current=2200_tbl=0_toff=3_hstrt=2_hend=3_speed=47,7686.808802105591,3
current=2200_tbl=0_toff=3_hstrt=2_hend=4_speed=47,7313.923601353747,3
current=2200_tbl=0_toff=3_hstrt=2_hend=5_speed=47,6922.310672858305,3
current=2200_tbl=0_toff=3_hstrt=2_hend=6_speed=47,6634.541676092351,3
current=2200_tbl=0_toff=3_hstrt=2_hend=7_speed=47,6491.582769164521,3
current=2200_tbl=0_toff=3_hstrt=2_hend=8_speed=47,6243.9218645366955,3
current=2200_tbl=0_toff=3_hstrt=2_hend=9_speed=47,6232.693257580963,3
current=2200_tbl=0_toff=3_hstrt=2_hend=10_speed=47,6082.1865680664905,3
current=2200_tbl=0_toff=3_hstrt=2_hend=11_speed=47,6153.590129212271,3
current=2200_tbl=0_toff=3_hstrt=2_hend=12_speed=47,6069.720061253528,3
current=2200_tbl=0_toff=3_hstrt=2_hend=13_speed=47,5938.456098556794,3
current=2200_tbl=0_toff=3_hstrt=3_hend=2_speed=47,7600.482825136874,3
current=2200_tbl=0_toff=3_hstrt=3_hend=3_speed=47,7284.2128702869995,3
current=2200_tbl=0_toff=3_hstrt=3_hend=4_speed=47,6945.877698898423,3
current=2200_tbl=0_toff=3_hstrt=3_hend=5_speed=47,6631.0646163657475,3
current=2200_tbl=0_toff=3_hstrt=3_hend=6_speed=47,6458.026022477142,3
current=2200_tbl=0_toff=3_hstrt=3_hend=7_speed=47,6228.83024410693,3
current=2200_tbl=0_toff=3_hstrt=3_hend=8_speed=47,6131.851004649549,3
current=2200_tbl=0_toff=3_hstrt=3_hend=9_speed=47,6009.721701711765,3
current=2200_tbl=0_toff=3_hstrt=3_hend=10_speed=47,6064.113443206422,3
current=2200_tbl=0_toff=3_hstrt=3_hend=11_speed=47,6028.7975512543035,3
current=2200_tbl=0_toff=3_hstrt=3_hend=12_speed=47,5804.076186315331,3
current=2200_tbl=0_toff=3_hstrt=4_hend=2_speed=47,7240.707224849804,3
current=2200_tbl=0_toff=3_hstrt=4_hend=3_speed=47,6905.645423003805,3
current=2200_tbl=0_toff=3_hstrt=4_hend=4_speed=47,6661.837616455825,3
current=2200_tbl=0_toff=3_hstrt=4_hend=5_speed=47,6490.568982019731,3
current=2200_tbl=0_toff=3_hstrt=4_hend=6_speed=47,6326.539148995062,3
current=2200_tbl=0_toff=3_hstrt=4_hend=7_speed=47,6048.351088083951,3
current=2200_tbl=0_toff=3_hstrt=4_hend=8_speed=47,6080.980141520626,3
current=2200_tbl=0_toff=3_hstrt=4_hend=9_speed=47,6010.884423527583,3
current=2200_tbl=0_toff=3_hstrt=4_hend=10_speed=47,6023.5572007035935,3
current=2200_tbl=0_toff=3_hstrt=4_hend=11_speed=47,5805.841775960591,3
current=2200_tbl=0_toff=3_hstrt=5_hend=2_speed=47,6831.091602432795,3
current=2200_tbl=0_toff=3_hstrt=5_hend=3_speed=47,6661.620778916799,3
current=2200_tbl=0_toff=3_hstrt=5_hend=4_speed=47,6483.11968106036,3
current=2200_tbl=0_toff=3_hstrt=5_hend=5_speed=47,6321.56715368424,3
current=2200_tbl=0_toff=3_hstrt=5_hend=6_speed=47,6096.617190670744,3
current=2200_tbl=0_toff=3_hstrt=5_hend=7_speed=47,6042.7164582367,3
current=2200_tbl=0_toff=3_hstrt=5_hend=8_speed=47,5940.424918326167,3
current=2200_tbl=0_toff=3_hstrt=5_hend=9_speed=47,5935.150100016105,3
current=2200_tbl=0_toff=3_hstrt=5_hend=10_speed=47,5661.307285896402,3
current=2200_tbl=0_toff=3_hstrt=6_hend=2_speed=47,6708.424880703166,3
current=2200_tbl=0_toff=3_hstrt=6_hend=3_speed=47,6495.082119436429,3
current=2200_tbl=0_toff=3_hstrt=6_hend=4_speed=47,6159.952858428988,3
current=2200_tbl=0_toff=3_hstrt=6_hend=5_speed=47,6077.889230052275,3
current=2200_tbl=0_toff=3_hstrt=6_hend=6_speed=47,6068.443403329929,3
current=2200_tbl=0_toff=3_hstrt=6_hend=7_speed=47,5953.712830583046,3
current=2200_tbl=0_toff=3_hstrt=6_hend=8_speed=47,5954.527851695482,3
current=2200_tbl=0_toff=3_hstrt=6_hend=9_speed=47,5719.546826314214,3
current=2200_tbl=0_toff=3_hstrt=7_hend=2_speed=47,6434.591457874951,3
current=2200_tbl=0_toff=3_hstrt=7_hend=3_speed=47,6226.716653953341,3
current=2200_tbl=0_toff=3_hstrt=7_hend=4_speed=47,6074.1835104057955,3
current=2200_tbl=0_toff=3_hstrt=7_hend=5_speed=47,6002.834151294082,3
current=2200_tbl=0_toff=3_hstrt=7_hend=6_speed=47,6005.63712951526,3
current=2200_tbl=0_toff=3_hstrt=7_hend=7_speed=47,5919.96559575552,3
current=2200_tbl=0_toff=3_hstrt=7_hend=8_speed=47,5741.808744256901,3
current=2200_tbl=0_toff=4_hstrt=0_hend=2_speed=47,8064.474431102457,4
current=2200_tbl=0_toff=4_hstrt=0_hend=3_speed=47,7789.415059325171,4
current=2200_tbl=0_toff=4_hstrt=0_hend=4_speed=47,7452.52610787374,4
current=2200_tbl=0_toff=4_hstrt=0_hend=5_speed=47,7210.111169118358,4
current=2200_tbl=0_toff=4_hstrt=0_hend=6_speed=47,6780.6360045192905,4
current=2200_tbl=0_toff=4_hstrt=0_hend=7_speed=47,6335.479233139473,4
current=2200_tbl=0_toff=4_hstrt=0_hend=8_speed=47,5941.775691799075,4
current=2200_tbl=0_toff=4_hstrt=0_hend=9_speed=47,5602.693361646792,4
current=2200_tbl=0_toff=4_hstrt=0_hend=10_speed=47,5286.980602417167,4
current=2200_tbl=0_toff=4_hstrt=0_hend=11_speed=47,5161.814358659522,4
current=2200_tbl=0_toff=4_hstrt=0_hend=12_speed=47,5247.561366094138,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=47,5234.295697521808,4
current=2200_tbl=0_toff=4_hstrt=0_hend=14_speed=47,5155.822002182668,4
current=2200_tbl=0_toff=4_hstrt=0_hend=15_speed=47,5327.92141935736,4
current=2200_tbl=0_toff=4_hstrt=1_hend=2_speed=47,7900.287066946614,4
current=2200_tbl=0_toff=4_hstrt=1_hend=3_speed=47,7462.965837908098,4
current=2200_tbl=0_toff=4_hstrt=1_hend=4_speed=47,7151.133684158412,4
current=2200_tbl=0_toff=4_hstrt=1_hend=5_speed=47,6777.217373983997,4
current=2200_tbl=0_toff=4_hstrt=1_hend=6_speed=47,6291.752420789271,4
current=2200_tbl=0_toff=4_hstrt=1_hend=7_speed=47,6220.7330525380075,4
current=2200_tbl=0_toff=4_hstrt=1_hend=8_speed=47,5889.364290020473,4
current=2200_tbl=0_toff=4_hstrt=1_hend=9_speed=47,5589.994833771234,4
current=2200_tbl=0_toff=4_hstrt=1_hend=10_speed=47,5507.411175026646,4
current=2200_tbl=0_toff=4_hstrt=1_hend=11_speed=47,5419.3937919270675,4
current=2200_tbl=0_toff=4_hstrt=1_hend=12_speed=47,5453.947238982786,4
current=2200_tbl=0_toff=4_hstrt=1_hend=13_speed=47,5355.122081193724,4
current=2200_tbl=0_toff=4_hstrt=1_hend=14_speed=47,5631.314993937979,4
current=2200_tbl=0_toff=4_hstrt=2_hend=2_speed=47,7178.121583242212,4
current=2200_tbl=0_toff=4_hstrt=2_hend=3_speed=47,6926.272770614141,4
current=2200_tbl=0_toff=4_hstrt=2_hend=4_speed=47,6648.88552615402,4
current=2200_tbl=0_toff=4_hstrt=2_hend=5_speed=47,6306.788541432496,4
current=2200_tbl=0_toff=4_hstrt=2_hend=6_speed=47,6089.572626746596,4
current=2200_tbl=0_toff=4_hstrt=2_hend=7_speed=47,5770.838581518267,4
current=2200_tbl=0_toff=4_hstrt=2_hend=8_speed=47,5464.164647928605,4
current=2200_tbl=0_toff=4_hstrt=2_hend=9_speed=47,5424.810697994417,4
current=2200_tbl=0_toff=4_hstrt=2_hend=10_speed=47,5527.537088483525,4
current=2200_tbl=0_toff=4_hstrt=2_hend=11_speed=47,5463.872438186186,4
current=2200_tbl=0_toff=4_hstrt=2_hend=12_speed=47,5530.941634934724,4
current=2200_tbl=0_toff=4_hstrt=2_hend=13_speed=47,5660.808198975291,4
current=2200_tbl=0_toff=4_hstrt=3_hend=2_speed=47,6979.289479181714,4
current=2200_tbl=0_toff=4_hstrt=3_hend=3_speed=47,6725.4023840734235,4
current=2200_tbl=0_toff=4_hstrt=3_hend=4_speed=47,6199.43698791014,4
current=2200_tbl=0_toff=4_hstrt=3_hend=5_speed=47,5949.991430233888,4
current=2200_tbl=0_toff=4_hstrt=3_hend=6_speed=47,5641.932646976,4
current=2200_tbl=0_toff=4_hstrt=3_hend=7_speed=47,5474.904080214701,4
current=2200_tbl=0_toff=4_hstrt=3_hend=8_speed=47,5448.363470705373,4
current=2200_tbl=0_toff=4_hstrt=3_hend=9_speed=47,5436.160828573771,4
current=2200_tbl=0_toff=4_hstrt=3_hend=10_speed=47,5487.454832109519,4
current=2200_tbl=0_toff=4_hstrt=3_hend=11_speed=47,5506.772077006859,4
current=2200_tbl=0_toff=4_hstrt=3_hend=12_speed=47,5624.9839896770645,4
current=2200_tbl=0_toff=4_hstrt=4_hend=2_speed=47,6549.684231961759,4
current=2200_tbl=0_toff=4_hstrt=4_hend=3_speed=47,6213.554352379176,4
current=2200_tbl=0_toff=4_hstrt=4_hend=4_speed=47,5928.18045828454,4
current=2200_tbl=0_toff=4_hstrt=4_hend=5_speed=47,5558.6009936799655,4
current=2200_tbl=0_toff=4_hstrt=4_hend=6_speed=47,5414.9957948153215,4
current=2200_tbl=0_toff=4_hstrt=4_hend=7_speed=47,5441.901873707973,4
current=2200_tbl=0_toff=4_hstrt=4_hend=8_speed=47,5458.607567623846,4
current=2200_tbl=0_toff=4_hstrt=4_hend=9_speed=47,5487.808949896481,4
current=2200_tbl=0_toff=4_hstrt=4_hend=10_speed=47,5463.536684560648,4
current=2200_tbl=0_toff=4_hstrt=4_hend=11_speed=47,5665.993222137471,4
current=2200_tbl=0_toff=4_hstrt=5_hend=2_speed=47,6216.815717575049,4
current=2200_tbl=0_toff=4_hstrt=5_hend=3_speed=47,5963.002326704747,4
current=2200_tbl=0_toff=4_hstrt=5_hend=4_speed=47,5585.252107925207,4
current=2200_tbl=0_toff=4_hstrt=5_hend=5_speed=47,5457.843026221933,4
current=2200_tbl=0_toff=4_hstrt=5_hend=6_speed=47,5486.039202998127,4
current=2200_tbl=0_toff=4_hstrt=5_hend=7_speed=47,5438.486895832849,4
current=2200_tbl=0_toff=4_hstrt=5_hend=8_speed=47,5480.078132877742,4
current=2200_tbl=0_toff=4_hstrt=5_hend=9_speed=47,5334.996932465833,4
current=2200_tbl=0_toff=4_hstrt=5_hend=10_speed=47,5640.553624527838,4
current=2200_tbl=0_toff=4_hstrt=6_hend=2_speed=47,5922.418715961044,4
current=2200_tbl=0_toff=4_hstrt=6_hend=3_speed=47,5634.363843106532,4
