#time,accel_x,accel_y,accel_z
2995.728760,229.843359,2231.395947,-11798.625781
2995.729007,852.335791,-2011.129395,-11137.826123
2995.729255,1747.767212,-5276.820459,-12349.292163
2995.729503,526.724365,-5032.611890,-14781.801050
2995.729750,-1403.002173,-5698.199951,-14279.018701
2995.729998,-1699.883179,-7709.329346,-13479.355347
2995.730246,-995.987891,-11631.031665,-11745.953345
2995.730493,-368.707056,-16515.203052,-10515.333691
2995.730741,-282.515796,-20187.908398,-12756.306445
2995.730989,-1364.694946,-21294.029565,-13594.277026
2995.731236,-2116.474268,-21849.484351,-13694.833496
2995.731484,-1608.903516,-22869.414258,-12129.025610
2995.731732,-751.779321,-24392.126514,-8911.218579
2995.731979,-138.863696,-26929.980273,-9323.021265
2995.732227,220.266553,-27839.776904,-10074.800586
2995.732475,699.106885,-26609.157251,-10620.678564
2995.732722,890.643018,-25402.479614,-11238.382593
2995.732970,928.950244,-26819.846997,-8298.302954
2995.733218,-172.382520,-28682.535889,-6794.744312
2995.733465,-1450.886206,-26915.615063,-7168.239771
2995.733713,-2461.239307,-21643.583008,-8734.047656
2995.733961,-3825.934253,-13915.100049,-10898.405957
2995.734208,-4769.249707,-7378.929517,-10012.551343
2995.734456,-4218.583325,-3696.647363,-8159.439258
2995.734704,-4429.273071,-3347.093921,-6684.611035
2995.734951,-4721.365674,-4438.849878,-6775.590698
2995.735199,-5228.936426,-4893.748193,-9543.287817
2995.735447,-4161.122485,-3648.763330,-10395.623608
2995.735695,-2355.894434,435.744702,-8949.525806
2995.735942,-833.182178,5679.046338,-5985.504150
2995.736190,617.704028,10994.174023,-4209.006519
2995.736438,1000.776294,15064.316846,-5712.565161
2995.736685,1848.323682,16692.373975,-7522.581616
2995.736933,2638.410229,16855.179688,-9591.171851
2995.737181,3380.612744,15198.392139,-8097.190015
2995.737428,3586.514087,13819.331982,-5425.260962
2995.737676,4223.371729,15830.461377,-4874.594580
2995.737924,4424.484668,21136.012256,-5578.489868
2995.738171,3821.145850,27327.417749,-9356.540088
2995.738419,2882.618799,32446.220898,-10663.774194
2995.738667,1824.381665,35103.784741,-10065.223779
2995.738914,1446.097803,35855.564063,-8868.122949
2995.739162,1642.422339,33901.895508,-7829.039429
2995.739410,1929.726538,29831.752686,-9720.458740
2995.739657,2384.624854,24880.543652,-12009.315527
2995.739905,2130.839478,20049.044702,-12109.871997
2995.740153,1470.039819,15749.058521,-11712.434521
2995.740400,1326.387720,11971.008301,-9902.418066
2995.740648,1144.428394,8188.169678,-9485.826978
2995.740896,1546.654272,5813.121631,-12014.103931
2995.741143,1752.555615,4687.846851,-12995.726611
2995.741391,991.199487,4659.116431,-13800.178369
2995.741639,229.843359,4141.968872,-12684.480396
2995.741886,330.399829,1403.002173,-10850.521924
2995.742134,1225.831250,-3193.865015,-11391.611499
2995.742382,1656.787549,-5741.295581,-12866.439722
2995.742629,-229.843359,-4721.365674,-14901.511133
2995.742877,-1867.477295,-5856.217261,-14595.053320
2995.743125,-1757.344019,-8446.743457,-12856.862915
2995.743372,-837.970581,-12603.077539,-10821.791504
2995.743620,-306.457812,-17286.135986,-10941.501587
2995.743868,-493.205542,-20341.137305,-12895.170142
2995.744115,-1776.497632,-21102.493433,-13910.311646
2995.744363,-2173.935107,-21768.081494,-13795.389966
2995.744611,-1441.309399,-22716.185352,-11286.266626
2995.744858,-459.686719,-24861.390039,-8700.528833
2995.745106,344.765039,-27571.626318,-9208.099585
2995.745354,723.048901,-28064.831860,-10237.606299
2995.745601,814.028564,-26403.255908,-10860.098730
2995.745849,780.509741,-25646.688184,-10721.235034
2995.746097,430.956299,-27509.377075,-7714.117749
2995.746345,-598.550415,-28840.553198,-6713.341455
2995.746592,-1599.326709,-26307.487842,-7354.987500
2995.746840,-2844.311572,-20475.212598,-9232.041602
2995.747088,-4213.794922,-12588.712329,-11262.324609
2995.747335,-4855.440967,-6143.521460,-9744.400757
2995.747583,-4367.023828,-3107.673755,-7872.135059
2995.747831,-4501.099121,-2949.656445,-6517.016919
2995.748078,-4716.577271,-4065.354419,-7019.799268
2995.748326,-4716.577271,-4960.785840,-9945.513696
2995.748574,-3495.534424,-3380.612744,-10108.319409
2995.748821,-1470.039819,541.089575,-8322.244971
2995.749069,-239.420166,6335.057593,-5712.565161
2995.749317,723.048901,12430.695020,-4477.157104
2995.749564,1120.486377,16668.431958,-5932.831714
2995.749812,1561.019482,18061.857324,-8298.302954
2995.750060,2513.911743,17008.408594,-9299.079248
2995.750307,3031.059302,14599.841724,-7536.946826
2995.750555,3294.421484,13278.242407,-5712.565161
2995.750803,3950.432739,15495.273145,-4520.252734
2995.751050,3926.490723,21562.180151,-6737.283472
2995.751298,3347.093921,28079.197070,-9629.479077
2995.751546,2676.717456,32915.484424,-10323.797559
2995.751793,1857.900488,35836.410449,-10496.180078
2995.752041,1977.610571,36013.581372,-8001.421948
2995.752289,2173.935107,33466.150806,-8216.900098
2995.752536,2355.894434,29056.031348,-10189.722266
2995.752784,2633.621826,23951.593408,-11726.799731
2995.753032,1747.767212,19345.149414,-12947.842578
2995.753279,1312.022510,15088.258862,-11118.672510
2995.753527,1115.697974,11195.286963,-9686.939917
2995.753775,895.431421,7814.674219,-10113.107813
2995.754021,1316.810913,5463.568188,-11769.895361
2995.754267,1163.582007,4376.600635,-13646.949463
2995.754513,430.956299,4089.296436,-13551.181396
2995.754759,114.921680,3380.612744,-12248.735693
2995.755005,474.051929,579.396802,-11238.382593
2995.755252,1647.210742,-3806.780640,-11113.884106
2995.755498,1862.688892,-5616.797095,-13263.877197
2995.755744,-311.246216,-4587.290381,-14839.261890
2995.755990,-1623.268726,-6186.617090,-14159.308618
2995.756236,-1604.115112,-8930.372192,-13091.494678
2995.756482,-598.550415,-13527.239380,-10826.579907
2995.756729,-33.518823,-18013.973291,-11324.573853
2995.756975,-574.608398,-20748.151587,-12947.842578
2995.757221,-2197.877124,-21605.275781,-13718.775513
2995.757467,-2566.584180,-22342.689893,-13532.027783
2995.757713,-1848.323682,-23171.083667,-10907.982764
2995.757959,-871.489404,-25158.271045,-8944.737402
2995.758205,-186.747729,-27336.994556,-9682.151514
2995.758452,536.301172,-27375.301782,-10093.954199
2995.758698,885.854614,-25900.473560,-11027.692847
2995.758944,1086.967554,-25771.186670,-10228.029492
2995.759190,502.782349,-27767.950854,-7675.810522
2995.759436,-555.454785,-28783.092358,-7115.567334
2995.759682,-1240.196460,-25790.340283,-7532.158423
2995.759928,-2628.833423,-19072.210425,-9533.711011
2995.760175,-4027.047192,-11750.741748,-10649.408984
2995.760421,-4601.655591,-5679.046338,-9284.714038
2995.760667,-4256.890552,-2944.868042,-7546.523633
2995.760913,-4209.006519,-2997.540479,-6454.767676
2995.761159,-4831.498950,-4050.989209,-7843.404639
2995.761405,-4774.038110,-4295.197778,-9830.592017
2995.761652,-3241.749048,-2643.198633,-9916.783276
2995.761898,-1498.770239,1924.938135,-8125.920435
2995.762144,-215.478149,8259.995728,-5358.223315
2995.762390,684.741675,13560.758203,-4869.806177
2995.762636,1268.926880,16577.452295,-6339.845996
2995.762882,1843.535278,17798.495142,-8475.473877
